,rank,country,company,name,cores,rmax
459,460,Germany,Cray/HPE,,"41,472","1,214.2"
460,461,China,Lenovo,B1,"24,000","1,213.6"
461,462,Japan,Fujitsu,RAIDEN GPU subsystem,"35,360","1,213.0"
462,463,China,Lenovo,,"76,800","1,212.8"
463,464,China,Lenovo,,"36,000","1,202.7"
464,465,Russia,Cray Inc./T-Platforms,,"35,136","1,200.3"
465,466,China,Inspur,,"26,880","1,197.0"
466,467,China,Sugon,CloudSystem,"70,000","1,196.0"
467,468,United Kingdom,Dell EMC,Wilkes-2,"21,240","1,193.0"
468,469,China,Inspur,,"28,800","1,188.0"
469,470,China,Inspur,,"28,800","1,188.0"
470,471,China,Inspur,,"24,960","1,182.0"
471,472,China,Inspur,,"24,960","1,182.0"
472,473,United States,HPE,,"23,808","1,181.1"
473,474,United States,HPE,,"23,808","1,181.1"
474,475,China,Inspur,,"26,880","1,180.0"
475,476,United States,"Penguin Computing, Inc.",LLNL/NNSA CTS-1 Nel,"39,744","1,179.6"
476,477,Japan,HPE,Sekirei,"38,016","1,178.3"
477,478,China,Inspur,,"21,248","1,173.0"
478,479,China,Inspur,,"12,800","1,171.0"
479,480,China,Inspur,,"12,800","1,171.0"
480,481,United States,Cray/HPE,Garnet,"150,528","1,167.0"
481,482,China,Fastonetech Inc.,AWS HPC Clusters,"41,472","1,162.6"
482,483,United States,Dell EMC,Zenith,"26,720","1,161.9"
483,484,China,Inspur,,"26,880","1,161.0"
484,485,China,Lenovo,Internet Company T CC1,"64,320","1,156.5"
485,486,China,"Huawei Technologies Co., Ltd.",,"23,904","1,154.8"
486,487,China,Inspur,,"28,800","1,152.0"
487,488,China,Inspur,,"28,800","1,152.0"
488,489,China,Inspur,,"28,800","1,152.0"
489,490,China,Inspur,,"28,800","1,152.0"
490,491,China,Inspur,,"28,800","1,152.0"
491,492,China,Lenovo,,"78,000","1,149.6"
492,493,China,Lenovo,JD C1,"67,200","1,145.4"
493,494,Spain,IBM,MareNostrum P9 CTE,"18,360","1,145.0"
494,495,United States,"Penguin Computing, Inc.",LANL/NNSA CTS-1 Fire,"39,672","1,144.8"
495,496,United States,"Penguin Computing, Inc.",LANL/NNSA CTS-1 Ice,"39,672","1,144.8"
496,497,China,"Huawei Technologies Co., Ltd.",,"41,440","1,142.2"
497,498,China,Inspur,,"27,520","1,142.0"
498,499,China,Inspur,,"27,520","1,142.0"
499,500,China,Inspur,,"27,520","1,142.0"
